epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,28894.7,0.56362,0.27311,0.97026,0.5485,0.50728,0.5479,0.43498,0.55504,0.29927,0.98726,0.000664597,0.000664597,0.000664597
76,29037.2,0.55397,0.27099,0.96971,0.54645,0.50996,0.54897,0.43593,0.55498,0.29914,0.98728,0.000619929,0.000619929,0.000619929
77,29384.1,0.55737,0.27072,0.96967,0.54598,0.50691,0.54839,0.43518,0.55473,0.29914,0.98729,0.000576642,0.000576642,0.000576642
78,29835.9,0.55632,0.26993,0.97049,0.59335,0.50243,0.54911,0.43603,0.55465,0.29902,0.98734,0.00053478,0.00053478,0.00053478
79,30212.4,0.54884,0.26678,0.96944,0.59567,0.50283,0.55011,0.4366,0.55442,0.29865,0.98727,0.000494384,0.000494384,0.000494384
80,30626.8,0.54624,0.26723,0.9698,0.55496,0.50028,0.55055,0.43698,0.55423,0.29871,0.98719,0.000455493,0.000455493,0.000455493
81,30985.5,0.54326,0.26475,0.96877,0.55587,0.50359,0.55106,0.43732,0.55405,0.29863,0.98704,0.000418146,0.000418146,0.000418146
82,31370.2,0.5503,0.26685,0.96875,0.55645,0.50752,0.55068,0.4365,0.55392,0.29843,0.98707,0.00038238,0.00038238,0.00038238
83,31753.2,0.53682,0.26495,0.96883,0.55005,0.51362,0.55039,0.43622,0.55357,0.2983,0.98698,0.000348231,0.000348231,0.000348231
84,32165.1,0.53551,0.26117,0.96743,0.5473,0.51808,0.55074,0.43619,0.55344,0.29814,0.98692,0.000315731,0.000315731,0.000315731
85,32554.4,0.54067,0.2634,0.96888,0.53846,0.52127,0.55198,0.43755,0.5533,0.29802,0.9869,0.000284913,0.000284913,0.000284913
86,33034.2,0.5314,0.26049,0.96775,0.54151,0.52311,0.55225,0.43799,0.55298,0.29794,0.98679,0.000255807,0.000255807,0.000255807
87,33481.7,0.5251,0.25875,0.96676,0.54474,0.52339,0.55232,0.43781,0.55271,0.29778,0.98681,0.000228442,0.000228442,0.000228442
88,33923.1,0.53761,0.26139,0.96676,0.54793,0.5221,0.55246,0.43779,0.5527,0.29784,0.98682,0.000202846,0.000202846,0.000202846
89,34265.3,0.53303,0.2598,0.9665,0.54535,0.52499,0.55254,0.43807,0.55271,0.29744,0.98675,0.000179043,0.000179043,0.000179043
90,34561.2,0.53936,0.26139,0.96942,0.54693,0.52113,0.55221,0.43771,0.55279,0.29766,0.98674,0.000157056,0.000157056,0.000157056
91,34720.5,0.5259,0.25774,0.96599,0.54786,0.52216,0.55265,0.43836,0.55279,0.29778,0.98683,0.000136908,0.000136908,0.000136908
92,34900.6,0.53855,0.26066,0.96712,0.54824,0.52691,0.55269,0.43833,0.55283,0.29761,0.98687,0.000118619,0.000118619,0.000118619
93,35055.4,0.52865,0.25727,0.96649,0.55009,0.52588,0.55293,0.43865,0.5528,0.29785,0.98686,0.000102205,0.000102205,0.000102205
94,35192.3,0.53989,0.25909,0.96569,0.55157,0.52588,0.55438,0.43931,0.55278,0.29786,0.98686,8.76848e-05,8.76848e-05,8.76848e-05
95,35339,0.52968,0.2587,0.96635,0.55066,0.52578,0.5543,0.43904,0.55285,0.29772,0.98688,7.50712e-05,7.50712e-05,7.50712e-05
96,35483.3,0.52725,0.2568,0.96588,0.55457,0.53083,0.55451,0.43955,0.55283,0.29789,0.98685,6.43771e-05,6.43771e-05,6.43771e-05
97,35624.4,0.53157,0.25795,0.967,0.55665,0.53052,0.55483,0.43927,0.55273,0.29794,0.98691,5.56129e-05,5.56129e-05,5.56129e-05
98,35767.6,0.53536,0.25948,0.96601,0.55575,0.5315,0.55467,0.43956,0.5525,0.29783,0.98688,4.87873e-05,4.87873e-05,4.87873e-05
99,35916.4,0.52506,0.25664,0.9672,0.55538,0.5319,0.55464,0.43986,0.55232,0.29798,0.98681,4.39071e-05,4.39071e-05,4.39071e-05
100,36065.4,0.52093,0.25484,0.96494,0.55421,0.53257,0.55485,0.44016,0.55219,0.29792,0.98685,4.0977e-05,4.0977e-05,4.0977e-05
